UniqueID,_id,active,createdDate,lastLogin,role,signUpSource,state
208,600746fd6e64691717e8cfb5,True,2021-01-19 20:54:21,2021-01-19 20:54:21,consumer,Email,WI
209,60074b49325c8a1794623876,True,2021-01-19 21:12:41,2021-01-19 21:16:09,consumer,Email,WI
210,60074b49325c8a1794623876,True,2021-01-19 21:12:41,2021-01-19 21:16:09,consumer,Email,WI
211,60074b996e64691717e8f11a,True,2021-01-19 21:14:01,2021-01-19 21:14:02,consumer,Email,WI
212,600748196e64691717e8d4f0,True,2021-01-19 20:59:05,2021-01-19 21:02:42,consumer,Email,WI
213,600741d06e6469120a787853,True,2021-01-19 20:32:17,2021-01-19 20:39:03,consumer,Email,WI
214,600741d06e6469120a787853,True,2021-01-19 20:32:17,2021-01-19 20:39:03,consumer,Email,WI
215,600741d06e6469120a787853,True,2021-01-19 20:32:17,2021-01-19 20:39:03,consumer,Email,WI
216,600741d06e6469120a787853,True,2021-01-19 20:32:17,2021-01-19 20:39:03,consumer,Email,WI
217,600748196e64691717e8d4f0,True,2021-01-19 20:59:05,2021-01-19 21:02:42,consumer,Email,WI
218,600741d06e6469120a787853,True,2021-01-19 20:32:17,2021-01-19 20:39:03,consumer,Email,WI
219,6007464b6e64691717e8c1f0,True,2021-01-19 20:51:23,2021-01-19 20:55:08,consumer,Email,WI
220,600748196e64691717e8d4f0,True,2021-01-19 20:59:05,2021-01-19 21:02:42,consumer,Email,WI
221,60074246325c8a12289e22a0,True,2021-01-19 20:34:15,2021-01-19 20:34:15,consumer,Email,WI
222,60074883325c8a1794622a12,True,2021-01-19 21:00:51,2021-01-19 21:00:51,consumer,Email,WI
223,6006f786fb296c7f688530f8,True,2021-01-19 15:15:18,Null,consumer,Email,AL
224,60088d55633aab121bb8e41a,True,2021-01-20 20:06:45,2021-01-20 20:07:54,consumer,Email,WI
225,6008893b633aab121bb8e0a9,True,2021-01-20 19:49:15,2021-01-20 19:50:33,consumer,Email,WI
226,6008893b633aab121bb8e0a9,True,2021-01-20 19:49:15,2021-01-20 19:50:33,consumer,Email,WI
